[2026-03-17T10:40:03.729788] TQQQ | precision_buy_algorithm | SMA57 | President 45 | 3M | critical | TQQQ PRECISION BUY SMA57 [President 45] 3M | PRECISION BUY — SMA 57 at 48.27 | OHLC4 48.27 (current bar) | Close 48.27 | Hard stop: 48.26 | Drawdown 1.0% from 48.76 | TF: 3M
[2026-03-17T13:40:04.258348] SPXU | optimized_buying_algorithm | SMA360 | 180 | 20M | high | SPXU MAGNETIZED BUY SMA360 [180] 20M | MAGNETIZED BUY — SMA 360 at 52.71 | 4 penny + 1 near touches across 4/10 bars | 2.4x expected | Capitular low: 52.42 | HIGH VOL | TF: 20M
[2026-03-17T13:40:59.254178] SPXS | precision_buy_algorithm | SMA30 | Dow Jones System | 10M | critical | SPXS PRECISION BUY SMA30 [Dow Jones System] 10M | PRECISION BUY — SMA 30 at 37.54 | OHLC4 37.54 (prev bar) | Close 37.57 | Hard stop: 37.53 | Drawdown 2.9% from 38.67 | TF: 10M
[2026-03-17T13:40:59.419196] SPXS | precision_buy_algorithm | SMA29 | President 45 | 10M | critical | SPXS PRECISION BUY SMA29 [President 45] 10M | PRECISION BUY — SMA 29 at 37.54 | OHLC4 37.54 (prev bar) | Close 37.57 | Hard stop: 37.53 | Drawdown 2.9% from 38.67 | TF: 10M
[2026-03-17T13:43:15.228079] UDOW | automated_short_order | SMA444 | ICKY WOODS (888) | 10M | critical | UDOW AUTO SHORT SMA444 [ICKY WOODS (888)] 10M | AUTO SHORT — SMA 444 at 53.34 | OHLC4 53.35 (prev bar) | Close 53.32 | Hard stop: 53.35 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:43:15.307127] UDOW | automated_short_order | SMA23 | Time (365) | 10M | critical | UDOW AUTO SHORT SMA23 [Time (365)] 10M | AUTO SHORT — SMA 23 at 53.34 | OHLC4 53.35 (prev bar) | Close 53.32 | Hard stop: 53.35 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:43:15.427600] UDOW | automated_short_order | SMA24 | President 47 | 10M | critical | UDOW AUTO SHORT SMA24 [President 47] 10M | AUTO SHORT — SMA 24 at 53.34 | OHLC4 53.35 (prev bar) | Close 53.32 | Hard stop: 53.35 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:43:15.487028] UDOW | automated_short_order | SMA25 | Resource Missing (404) | 10M | critical | UDOW AUTO SHORT SMA25 [Resource Missing (404)] 10M | AUTO SHORT — SMA 25 at 53.36 | OHLC4 53.35 (prev bar) | Close 53.32 | Hard stop: 53.37 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:43:23.961457] SDOW | automated_short_order | SMA548 | Waring's Problem | 1M | critical | SDOW AUTO SHORT SMA548 [Waring's Problem] 1M | AUTO SHORT — SMA 548 at 33.93 | OHLC4 33.92 (current bar) | Close 33.92 | Hard stop: 33.94 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:43:25.118031] SDOW | automated_short_order | SMA250 | NASDAQ System | 2M | critical | SDOW AUTO SHORT SMA250 [NASDAQ System] 2M | AUTO SHORT — SMA 250 at 33.92 | OHLC4 33.92 (current bar) | Close 33.92 | Hard stop: 33.93 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:43:25.218488] SDOW | automated_short_order | SMA279 | Waring's Problem | 2M | critical | SDOW AUTO SHORT SMA279 [Waring's Problem] 2M | AUTO SHORT — SMA 279 at 33.93 | OHLC4 33.92 (current bar) | Close 33.92 | Hard stop: 33.94 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:43:44.143495] DDM | automated_short_order | SMA22 | LUCKY (777) | 10M | critical | DDM AUTO SHORT SMA22 [LUCKY (777)] 10M | AUTO SHORT — SMA 22 at 54.14 | OHLC4 54.14 (prev bar) | Close 54.12 | Hard stop: 54.15 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:43:44.211862] DDM | automated_short_order | SMA23 | Time (365) | 10M | critical | DDM AUTO SHORT SMA23 [Time (365)] 10M | AUTO SHORT — SMA 23 at 54.14 | OHLC4 54.14 (prev bar) | Close 54.12 | Hard stop: 54.15 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:43:44.313060] DDM | automated_short_order | SMA24 | President 47 | 10M | critical | DDM AUTO SHORT SMA24 [President 47] 10M | AUTO SHORT — SMA 24 at 54.14 | OHLC4 54.14 (prev bar) | Close 54.12 | Hard stop: 54.15 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:43:45.459111] DDM | automated_short_order | SMA30 | Dow Jones System | 15M | critical | DDM AUTO SHORT SMA30 [Dow Jones System] 15M | AUTO SHORT — SMA 30 at 54.11 | OHLC4 54.11 (current bar) | Close 54.06 | Hard stop: 54.12 (penny above) | SYSTEM NEGATIVE | TF: 15M
[2026-03-17T13:43:45.640197] DDM | automated_short_order | SMA29 | President 45 | 15M | critical | DDM AUTO SHORT SMA29 [President 45] 15M | AUTO SHORT — SMA 29 at 54.12 | OHLC4 54.11 (current bar) | Close 54.06 | Hard stop: 54.13 (penny above) | SYSTEM NEGATIVE | TF: 15M
[2026-03-17T13:43:53.265700] DXD | automated_short_order | SMA444 | ICKY WOODS (888) | 1M | critical | DXD AUTO SHORT SMA444 [ICKY WOODS (888)] 1M | AUTO SHORT — SMA 444 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:43:53.300322] DXD | automated_short_order | SMA143 | Waring's Problem | 1M | critical | DXD AUTO SHORT SMA143 [Waring's Problem] 1M | AUTO SHORT — SMA 143 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:43:53.395067] DXD | automated_short_order | SMA144 | Time (144) | 1M | critical | DXD AUTO SHORT SMA144 [Time (144)] 1M | AUTO SHORT — SMA 144 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:43:53.413249] DXD | automated_short_order | SMA455 | President 45 | 1M | critical | DXD AUTO SHORT SMA455 [President 45] 1M | AUTO SHORT — SMA 455 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:43:53.467050] DXD | automated_short_order | SMA456 | WTC (911) | 1M | critical | DXD AUTO SHORT SMA456 [WTC (911)] 1M | AUTO SHORT — SMA 456 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:43:54.626076] DXD | automated_short_order | SMA250 | NASDAQ System | 2M | critical | DXD AUTO SHORT SMA250 [NASDAQ System] 2M | AUTO SHORT — SMA 250 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:43:54.673805] DXD | automated_short_order | SMA88 | ICKY WOODS (888) | 2M | critical | DXD AUTO SHORT SMA88 [ICKY WOODS (888)] 2M | AUTO SHORT — SMA 88 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:43:54.688835] DXD | automated_short_order | SMA77 | LUCKY (777) | 2M | critical | DXD AUTO SHORT SMA77 [LUCKY (777)] 2M | AUTO SHORT — SMA 77 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:43:54.705961] DXD | automated_short_order | SMA73 | Waring's Problem | 2M | critical | DXD AUTO SHORT SMA73 [Waring's Problem] 2M | AUTO SHORT — SMA 73 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:43:55.906658] DXD | automated_short_order | SMA50 | S&P 500 System | 3M | critical | DXD AUTO SHORT SMA50 [S&P 500 System] 3M | AUTO SHORT — SMA 50 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:43:55.994866] DXD | automated_short_order | SMA55 | LUCKY (777) | 3M | critical | DXD AUTO SHORT SMA55 [LUCKY (777)] 3M | AUTO SHORT — SMA 55 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:43:56.027074] DXD | automated_short_order | SMA54 | Regression (432) | 3M | critical | DXD AUTO SHORT SMA54 [Regression (432)] 3M | AUTO SHORT — SMA 54 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:43:56.125694] DXD | automated_short_order | SMA57 | President 45 | 3M | critical | DXD AUTO SHORT SMA57 [President 45] 3M | AUTO SHORT — SMA 57 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:43:56.196242] DXD | automated_short_order | SMA52 | SVIX (211) | 3M | critical | DXD AUTO SHORT SMA52 [SVIX (211)] 3M | AUTO SHORT — SMA 52 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:43:56.211671] DXD | automated_short_order | SMA51 | Resource Missing (404) | 3M | critical | DXD AUTO SHORT SMA51 [Resource Missing (404)] 3M | AUTO SHORT — SMA 51 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:43:57.271665] DXD | automated_short_order | SMA100 | NASDAQ System | 5M | critical | DXD AUTO SHORT SMA100 [NASDAQ System] 5M | AUTO SHORT — SMA 100 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:43:57.292749] DXD | automated_short_order | SMA33 | EVIL (666) | 5M | critical | DXD AUTO SHORT SMA33 [EVIL (666)] 5M | AUTO SHORT — SMA 33 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:43:57.297067] DXD | automated_short_order | SMA99 | EVIL (666) | 5M | critical | DXD AUTO SHORT SMA99 [EVIL (666)] 5M | AUTO SHORT — SMA 99 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:43:57.547070] DXD | automated_short_order | SMA101 | Resource Missing (404) | 5M | critical | DXD AUTO SHORT SMA101 [Resource Missing (404)] 5M | AUTO SHORT — SMA 101 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:44:01.230549] DXD | automated_short_order | SMA27 | Regression (432) | 20M | critical | DXD AUTO SHORT SMA27 [Regression (432)] 20M | AUTO SHORT — SMA 27 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 20M
[2026-03-17T13:44:01.301587] DXD | automated_short_order | SMA183 | Time (366) | 20M | critical | DXD AUTO SHORT SMA183 [Time (366)] 20M | AUTO SHORT — SMA 183 at 21.43 | OHLC4 21.43 (current bar) | Close 21.43 | Hard stop: 21.44 (penny above) | SYSTEM NEGATIVE | TF: 20M
[2026-03-17T13:44:09.320086] DOG | automated_short_order | SMA555 | LUCKY (777) | 1M | critical | DOG AUTO SHORT SMA555 [LUCKY (777)] 1M | AUTO SHORT — SMA 555 at 24.13 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:44:09.338257] DOG | automated_short_order | SMA548 | Waring's Problem | 1M | critical | DOG AUTO SHORT SMA548 [Waring's Problem] 1M | AUTO SHORT — SMA 548 at 24.13 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:44:09.405437] DOG | automated_short_order | SMA576 | Time (144) | 1M | critical | DOG AUTO SHORT SMA576 [Time (144)] 1M | AUTO SHORT — SMA 576 at 24.13 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:44:10.453006] DOG | automated_short_order | SMA300 | Dow Jones System | 2M | critical | DOG AUTO SHORT SMA300 [Dow Jones System] 2M | AUTO SHORT — SMA 300 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:44:10.509273] DOG | automated_short_order | SMA279 | Waring's Problem | 2M | critical | DOG AUTO SHORT SMA279 [Waring's Problem] 2M | AUTO SHORT — SMA 279 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:44:10.595520] DOG | automated_short_order | SMA288 | Time (144) | 2M | critical | DOG AUTO SHORT SMA288 [Time (144)] 2M | AUTO SHORT — SMA 288 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T13:44:11.687637] DOG | automated_short_order | SMA10 | S&P 500 System | 3M | critical | DOG AUTO SHORT SMA10 [S&P 500 System] 3M | AUTO SHORT — SMA 10 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.690138] DOG | automated_short_order | SMA50 | S&P 500 System | 3M | critical | DOG AUTO SHORT SMA50 [S&P 500 System] 3M | AUTO SHORT — SMA 50 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.691974] DOG | automated_short_order | SMA200 | S&P 500 System | 3M | critical | DOG AUTO SHORT SMA200 [S&P 500 System] 3M | AUTO SHORT — SMA 200 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.706855] DOG | automated_short_order | SMA60 | Dow Jones System | 3M | critical | DOG AUTO SHORT SMA60 [Dow Jones System] 3M | AUTO SHORT — SMA 60 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.744153] DOG | automated_short_order | SMA11 | ICKY WOODS (888) | 3M | critical | DOG AUTO SHORT SMA11 [ICKY WOODS (888)] 3M | AUTO SHORT — SMA 11 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.745727] DOG | automated_short_order | SMA44 | ICKY WOODS (888) | 3M | critical | DOG AUTO SHORT SMA44 [ICKY WOODS (888)] 3M | AUTO SHORT — SMA 44 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.760711] DOG | automated_short_order | SMA55 | LUCKY (777) | 3M | critical | DOG AUTO SHORT SMA55 [LUCKY (777)] 3M | AUTO SHORT — SMA 55 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.770568] DOG | automated_short_order | SMA777 | LUCKY (777) | 3M | critical | DOG AUTO SHORT SMA777 [LUCKY (777)] 3M | AUTO SHORT — SMA 777 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.773322] DOG | automated_short_order | SMA37 | Waring's Problem | 3M | critical | DOG AUTO SHORT SMA37 [Waring's Problem] 3M | AUTO SHORT — SMA 37 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.781764] DOG | automated_short_order | SMA54 | Regression (432) | 3M | critical | DOG AUTO SHORT SMA54 [Regression (432)] 3M | AUTO SHORT — SMA 54 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.806031] DOG | automated_short_order | SMA180 | 180 | 3M | critical | DOG AUTO SHORT SMA180 [180] 3M | AUTO SHORT — SMA 180 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.813161] DOG | automated_short_order | SMA46 | Time (365) | 3M | critical | DOG AUTO SHORT SMA46 [Time (365)] 3M | AUTO SHORT — SMA 46 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.818460] DOG | automated_short_order | SMA183 | Time (365) | 3M | critical | DOG AUTO SHORT SMA183 [Time (365)] 3M | AUTO SHORT — SMA 183 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.843306] DOG | automated_short_order | SMA36 | Time (144) | 3M | critical | DOG AUTO SHORT SMA36 [Time (144)] 3M | AUTO SHORT — SMA 36 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.853061] DOG | automated_short_order | SMA57 | President 45 | 3M | critical | DOG AUTO SHORT SMA57 [President 45] 3M | AUTO SHORT — SMA 57 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.880320] DOG | automated_short_order | SMA184 | President 46 | 3M | critical | DOG AUTO SHORT SMA184 [President 46] 3M | AUTO SHORT — SMA 184 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.893537] DOG | automated_short_order | SMA47 | President 47 | 3M | critical | DOG AUTO SHORT SMA47 [President 47] 3M | AUTO SHORT — SMA 47 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.899236] DOG | automated_short_order | SMA188 | President 47 | 3M | critical | DOG AUTO SHORT SMA188 [President 47] 3M | AUTO SHORT — SMA 188 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.918692] DOG | automated_short_order | SMA52 | SVIX (211) | 3M | critical | DOG AUTO SHORT SMA52 [SVIX (211)] 3M | AUTO SHORT — SMA 52 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.924721] DOG | automated_short_order | SMA211 | SVIX (211) | 3M | critical | DOG AUTO SHORT SMA211 [SVIX (211)] 3M | AUTO SHORT — SMA 211 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.936113] DOG | automated_short_order | SMA51 | Resource Missing (404) | 3M | critical | DOG AUTO SHORT SMA51 [Resource Missing (404)] 3M | AUTO SHORT — SMA 51 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.12 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:11.942709] DOG | automated_short_order | SMA202 | Resource Missing (404) | 3M | critical | DOG AUTO SHORT SMA202 [Resource Missing (404)] 3M | AUTO SHORT — SMA 202 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T13:44:13.418004] DOG | automated_short_order | SMA111 | ICKY WOODS (888) | 5M | critical | DOG AUTO SHORT SMA111 [ICKY WOODS (888)] 5M | AUTO SHORT — SMA 111 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:44:13.466128] DOG | automated_short_order | SMA108 | Regression (432) | 5M | critical | DOG AUTO SHORT SMA108 [Regression (432)] 5M | AUTO SHORT — SMA 108 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:44:13.568518] DOG | automated_short_order | SMA114 | President 45 | 5M | critical | DOG AUTO SHORT SMA114 [President 45] 5M | AUTO SHORT — SMA 114 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:44:17.194377] DOG | automated_short_order | SMA30 | 180 | 20M | critical | DOG AUTO SHORT SMA30 [180] 20M | AUTO SHORT — SMA 30 at 24.13 | OHLC4 24.12 (current bar) | Close 24.13 | Hard stop: 24.14 (penny above) | SYSTEM NEGATIVE | TF: 20M
[2026-03-17T13:44:17.233570] DOG | automated_short_order | SMA23 | Time (366) | 20M | critical | DOG AUTO SHORT SMA23 [Time (366)] 20M | AUTO SHORT — SMA 23 at 24.12 | OHLC4 24.12 (prev bar) | Close 24.11 | Hard stop: 24.13 (penny above) | SYSTEM NEGATIVE | TF: 20M
[2026-03-17T13:49:55.561164] SQQQ | optimized_buying_algorithm | SMA900 | Dow Jones System | 10M | high | SQQQ MAGNETIZED BUY SMA900 [Dow Jones System] 10M | MAGNETIZED BUY — SMA 900 at 72.19 | 4 penny + 2 near touches across 5/10 bars | 2.6x expected | Capitular low: 71.70 | HIGH VOL | TF: 10M
[2026-03-17T13:49:55.602593] SQQQ | optimized_buying_algorithm | SMA888 | ICKY WOODS (888) | 10M | high | SQQQ MAGNETIZED BUY SMA888 [ICKY WOODS (888)] 10M | MAGNETIZED BUY — SMA 888 at 72.19 | 4 penny + 2 near touches across 5/10 bars | 2.6x expected | Capitular low: 71.70 | HIGH VOL | TF: 10M
[2026-03-17T13:50:53.488433] DIA | automated_short_order | SMA911 | President 45 | 1M | critical | DIA AUTO SHORT SMA911 [President 45] 1M | AUTO SHORT — SMA 911 at 471.04 | OHLC4 471.04 (prev bar) | Close 471.00 | Hard stop: 471.05 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:51:22.972039] SDOW | automated_short_order | SMA900 | Dow Jones System | 1M | critical | SDOW AUTO SHORT SMA900 [Dow Jones System] 1M | AUTO SHORT — SMA 900 at 34.04 | OHLC4 34.04 (prev bar) | Close 34.03 | Hard stop: 34.05 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:51:23.008071] SDOW | automated_short_order | SMA888 | ICKY WOODS (888) | 1M | critical | SDOW AUTO SHORT SMA888 [ICKY WOODS (888)] 1M | AUTO SHORT — SMA 888 at 34.03 | OHLC4 34.04 (prev bar) | Close 34.03 | Hard stop: 34.04 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:51:23.182273] SDOW | automated_short_order | SMA911 | President 45 | 1M | critical | SDOW AUTO SHORT SMA911 [President 45] 1M | AUTO SHORT — SMA 911 at 34.05 | OHLC4 34.04 (prev bar) | Close 34.03 | Hard stop: 34.06 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T13:51:27.087173] SDOW | automated_short_order | SMA222 | LUCKY (777) | 5M | critical | SDOW AUTO SHORT SMA222 [LUCKY (777)] 5M | AUTO SHORT — SMA 222 at 34.05 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.06 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:51:27.120952] SDOW | automated_short_order | SMA216 | Regression (432) | 5M | critical | SDOW AUTO SHORT SMA216 [Regression (432)] 5M | AUTO SHORT — SMA 216 at 34.04 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.05 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:51:27.171185] SDOW | automated_short_order | SMA730 | Time (365) | 5M | critical | SDOW AUTO SHORT SMA730 [Time (365)] 5M | AUTO SHORT — SMA 730 at 34.05 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.06 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:51:27.187825] SDOW | automated_short_order | SMA732 | Time (366) | 5M | critical | SDOW AUTO SHORT SMA732 [Time (366)] 5M | AUTO SHORT — SMA 732 at 34.05 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.06 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:51:27.238728] SDOW | automated_short_order | SMA736 | President 46 | 5M | critical | SDOW AUTO SHORT SMA736 [President 46] 5M | AUTO SHORT — SMA 736 at 34.04 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.05 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:51:27.290553] SDOW | automated_short_order | SMA211 | SVIX (211) | 5M | critical | SDOW AUTO SHORT SMA211 [SVIX (211)] 5M | AUTO SHORT — SMA 211 at 34.04 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.05 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T13:51:28.310391] SDOW | automated_short_order | SMA100 | NASDAQ System | 10M | critical | SDOW AUTO SHORT SMA100 [NASDAQ System] 10M | AUTO SHORT — SMA 100 at 34.05 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.06 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:51:28.322538] SDOW | automated_short_order | SMA90 | Dow Jones System | 10M | critical | SDOW AUTO SHORT SMA90 [Dow Jones System] 10M | AUTO SHORT — SMA 90 at 34.04 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.05 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:51:28.340014] SDOW | automated_short_order | SMA99 | EVIL (666) | 10M | critical | SDOW AUTO SHORT SMA99 [EVIL (666)] 10M | AUTO SHORT — SMA 99 at 34.05 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.06 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T13:51:28.354096] SDOW | automated_short_order | SMA88 | ICKY WOODS (888) | 10M | critical | SDOW AUTO SHORT SMA88 [ICKY WOODS (888)] 10M | AUTO SHORT — SMA 88 at 34.04 | OHLC4 34.04 (current bar) | Close 34.03 | Hard stop: 34.05 (penny above) | SYSTEM NEGATIVE | TF: 10M
